Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR,Extra_0
Brandan Gates,1,0,0,3,8,37.5,3,5,60.0,0,0,0.0,3,1,0,0,0,0,9,4.0,0.0,0.0,0.0,9.0,8.0
Raynald Manuel,14,13,0,48,142,33.8,26,93,28.0,4,10,40.0,38,10,14,14,5,0,126,3.4,1.0,1.0,0.0,9.0,6.9
Izzy Atienza,1,0,0,4,9,44.4,1,4,25.0,0,0,0.0,0,0,1,2,1,0,9,0.0,1.0,2.0,0.0,9.0,6.0
Daniel Langeneau,8,20,2,28,71,39.4,5,11,45.5,11,19,57.9,31,16,11,18,16,2,72,5.9,1.4,2.3,0.3,9.0,10.4
Ryan Anderson,13,11,0,38,99,38.4,25,65,38.5,2,7,28.6,38,9,20,13,16,3,117,3.6,1.5,1.0,0.2,9.0,9.1
Liam Sharkey,2,1,0,8,24,33.3,0,1,0.0,2,4,50.0,13,9,3,3,3,2,18,11.0,1.5,1.5,1.0,9.0,13.5
Denzel Dawal,1,1,0,4,10,40.0,1,3,33.3,0,0,0.0,3,1,0,2,2,0,9,4.0,0.0,2.0,0.0,9.0,7.0
Albert Villagomez,2,1,0,7,15,46.7,4,9,44.4,0,0,0.0,9,1,12,2,2,0,18,5.0,6.0,1.0,0.0,9.0,16.0
Riley Werner,22,23,0,74,202,36.6,25,104,24.0,26,51,51.0,60,52,11,4,23,7,199,5.1,0.5,0.2,0.3,9.0,7.1
Justin Garcia,37,90,1,141,356,39.6,0,20,0.0,54,100,54.0,298,135,72,44,57,16,334,11.7,1.9,1.2,0.4,9.0,15.7
Suk Singh,2,3,0,7,15,46.7,4,9,44.4,0,0,0.0,11,1,9,1,5,0,18,6.0,4.5,0.5,0.0,9.0,13.5
Ruidi Shi,18,26,0,61,142,43.0,36,95,37.9,2,7,28.6,57,26,39,14,29,3,160,4.6,2.2,0.8,0.2,8.9,10.2
George Loewen,20,59,0,80,182,44.0,1,6,16.7,14,30,46.7,82,42,9,22,31,5,177,6.2,0.5,1.1,0.3,8.9,9.4
Mark Gilchrist,8,5,0,33,90,36.7,1,9,11.1,4,6,66.7,62,28,20,14,21,5,71,11.3,2.5,1.8,0.6,8.9,15.0
Eric Thompson,12,6,0,46,134,34.3,8,42,19.0,7,9,77.8,70,27,26,16,19,0,107,8.1,2.2,1.3,0.0,8.9,11.4
Ezra Leano,15,26,0,58,130,44.6,6,20,30.0,11,16,68.8,102,27,18,6,8,14,133,8.6,1.2,0.4,0.9,8.9,14.3
Justin Duff,16,23,1,66,130,50.8,0,3,0.0,9,34,26.5,160,76,30,17,27,29,141,14.8,1.9,1.1,1.8,8.8,21.1
Colin Laplante,16,30,2,53,149,35.6,19,69,27.5,14,28,50.0,67,12,40,8,17,6,140,4.9,2.5,0.5,0.4,8.8,9.1
Meher Deol,15,21,0,59,151,39.1,8,38,21.1,8,13,61.5,63,17,31,17,25,1,132,5.3,2.1,1.1,0.1,8.8,9.3
Ben Githieya,12,21,0,48,94,51.1,3,13,23.1,7,12,58.3,53,28,7,6,24,0,106,6.8,0.6,0.5,0.0,8.8,10.4
Jonathan Salunga,34,52,4,118,311,37.9,32,130,24.6,27,62,43.5,94,30,49,40,56,8,295,3.6,1.4,1.2,0.2,8.7,6.8
Joachim LaRiviere,18,22,1,62,147,42.2,6,24,25.0,26,54,48.1,67,29,21,14,18,2,157,5.3,1.2,0.8,0.1,8.7,8.8
Emmanuel Vugampore,13,22,0,42,154,27.3,15,64,23.4,14,23,60.9,33,16,9,6,14,3,113,3.8,0.7,0.5,0.2,8.7,3.5
Runyu Liu,16,19,0,49,156,31.4,40,125,32.0,1,5,20.0,51,8,12,7,11,1,139,3.7,0.8,0.4,0.1,8.7,6.0
Oshay Torres,19,22,0,61,258,23.6,11,81,13.6,30,79,38.0,52,28,19,39,39,6,163,4.2,1.0,2.1,0.3,8.6,1.2
Delf Gravert,19,24,0,69,204,33.8,9,41,22.0,17,30,56.7,107,61,16,7,37,6,164,8.8,0.8,0.4,0.3,8.6,9.3
Sean Close,16,13,3,42,123,34.1,25,83,30.1,13,19,68.4,56,6,38,10,20,8,137,3.9,2.4,0.6,0.5,8.6,9.3
Dom Merano,13,10,1,50,136,36.8,9,33,27.3,6,9,66.7,24,12,20,16,20,1,112,2.8,1.5,1.2,0.1,8.6,5.8
Tyson Prince,18,26,0,59,192,30.7,21,83,25.3,15,26,57.7,52,16,24,20,21,2,154,3.8,1.3,1.1,0.1,8.6,5.7
Mike Pawlyshyn,12,8,1,32,126,25.4,31,115,27.0,5,7,71.4,29,4,8,5,5,1,102,2.8,0.7,0.4,0.1,8.5,4.0
Bryton Zielke,11,28,0,40,110,36.4,5,28,17.9,8,16,50.0,67,20,18,15,14,8,93,7.9,1.6,1.4,0.7,8.5,11.7
Bami Olusakin,2,1,0,6,12,50.0,2,4,50.0,3,5,60.0,6,2,0,1,1,2,17,4.0,0.0,0.5,1.0,8.5,9.5
Akinola Akinremi,18,27,0,70,188,37.2,0,11,0.0,12,17,70.6,52,37,43,17,23,0,153,4.9,2.4,0.9,0.0,8.5,8.7
Patrick Schneider,21,37,0,82,173,47.4,2,10,20.0,13,40,32.5,165,89,17,16,39,14,179,12.1,0.8,0.8,0.7,8.5,15.4
Keenan Courchaine,8,8,0,30,69,43.5,2,17,11.8,5,14,35.7,28,15,3,16,13,10,67,5.4,0.4,2.0,1.3,8.4,9.8
Devin Campbell,18,25,0,61,209,29.2,23,108,21.3,7,14,50.0,43,22,27,17,30,1,152,3.6,1.5,0.9,0.1,8.4,4.3
Quinton Chambers,10,14,0,34,124,27.4,13,64,20.3,2,9,22.2,32,8,23,14,24,4,83,4.0,2.3,1.4,0.4,8.3,4.3
Dan Arjomandii,18,33,1,65,165,39.4,7,35,20.0,12,24,50.0,80,45,36,11,28,5,149,6.9,2.0,0.6,0.3,8.3,10.3
Bryan Enns,16,18,2,57,144,39.6,10,33,30.3,9,20,45.0,173,36,29,35,9,20,133,13.1,1.8,2.2,1.3,8.3,19.9
Steven Wong,17,22,0,60,152,39.5,3,13,23.1,18,37,48.6,78,39,28,10,28,5,141,6.9,1.6,0.6,0.3,8.3,9.5
Lance Del Mundo,17,18,1,57,197,28.9,22,85,25.9,3,8,37.5,73,15,34,19,20,2,139,5.2,2.0,1.1,0.1,8.2,6.9
Keven Barron,19,21,0,71,198,35.9,8,36,22.2,6,15,40.0,64,26,18,17,38,1,156,4.7,0.9,0.9,0.1,8.2,5.7
Jordan Jaskiewicz,29,28,0,97,244,39.8,30,101,29.7,12,23,52.2,138,66,33,21,24,7,237,7.0,1.1,0.7,0.2,8.2,11.0
Matthew Kaspick,20,36,0,62,210,29.5,27,123,22.0,12,20,60.0,76,46,16,22,28,3,163,6.1,0.8,1.1,0.2,8.2,7.1
Ethan Harms,15,27,0,47,162,29.0,16,51,31.4,12,25,48.0,84,41,22,19,25,7,122,8.3,1.5,1.3,0.5,8.1,9.5
Dylan Gray,17,21,0,52,136,38.2,10,36,27.8,24,42,57.1,49,22,13,11,11,1,138,4.2,0.8,0.6,0.1,8.1,7.1
Joe Proulx,20,45,1,54,201,26.9,43,170,25.3,5,7,71.4,122,8,28,41,33,14,159,6.5,1.4,2.1,0.7,8.0,9.5
Dharmjit Dhillon,1,3,0,3,11,27.3,0,3,0.0,2,2,100.0,5,1,2,0,1,1,8,6.0,2.0,0.0,1.0,8.0,8.0
Max Ojala,2,4,0,6,19,31.6,1,7,14.3,3,3,100.0,5,2,0,1,10,0,16,3.5,0.0,0.5,0.0,8.0,0.5
Settimo Yugu,1,1,0,3,8,37.5,0,3,0.0,2,2,100.0,0,0,0,2,1,0,8,0.0,0.0,2.0,0.0,8.0,4.0
Steven Koniuck,11,7,0,35,88,39.8,14,39,35.9,4,10,40.0,58,32,14,20,10,2,88,8.2,1.3,1.8,0.2,8.0,13.2
Sam Zaid,1,2,0,3,7,42.9,2,6,33.3,0,0,0.0,5,0,0,1,1,0,8,5.0,0.0,1.0,0.0,8.0,9.0
Tyrece Viner,3,5,0,11,20,55.0,1,3,33.3,1,7,14.3,13,11,2,0,4,1,24,8.0,0.7,0.0,0.3,8.0,10.7
Zach Caithness,1,0,0,3,9,33.3,2,7,28.6,0,0,0.0,1,0,1,3,0,0,8,1.0,1.0,3.0,0.0,8.0,7.0
Shazil Ghouri,1,1,0,3,7,42.9,2,5,40.0,0,0,0.0,3,0,0,1,0,0,8,3.0,0.0,1.0,0.0,8.0,8.0
Carter Butterfield,4,8,0,16,100,16.0,0,7,0.0,0,4,0.0,8,3,6,4,4,2,32,2.8,1.5,1.0,0.5,8.0,-9.3
Jordan Buenaventura,1,0,0,3,10,30.0,0,4,0.0,2,3,66.7,1,2,2,3,0,0,8,3.0,2.0,3.0,0.0,8.0,8.0
Odik Opap,19,26,1,57,162,35.2,29,90,32.2,9,12,75.0,48,20,14,11,24,3,152,3.6,0.7,0.6,0.2,8.0,6.1
Cj Bantug,12,15,0,41,124,33.1,8,48,16.7,6,17,35.3,64,15,24,14,24,8,96,6.6,2.0,1.2,0.7,8.0,8.6
Ryan Griffiths,10,19,0,31,67,46.3,0,6,0.0,18,24,75.0,34,25,6,14,6,3,80,5.9,0.6,1.4,0.3,8.0,11.4
Andrew Torbiak,1,0,0,4,11,36.4,0,2,0.0,0,5,0.0,6,1,1,2,4,2,8,7.0,1.0,2.0,2.0,8.0,4.0
Mike Collins,2,3,1,8,18,44.4,0,3,0.0,0,2,0.0,7,7,3,0,4,1,16,7.0,1.5,0.0,0.5,8.0,9.0
Victor Dos Santos,19,44,1,62,185,33.5,9,29,31.0,13,27,48.1,97,46,35,35,39,3,152,7.5,1.8,1.8,0.2,8.0,10.1
Gwyn Bernardo,22,36,1,69,193,35.8,20,74,27.0,13,21,61.9,87,37,28,14,36,8,173,5.6,1.3,0.6,0.4,7.9,8.1
Jesse Davidson,9,23,1,28,67,41.8,8,27,29.6,7,11,63.6,38,13,25,12,14,2,71,5.7,2.8,1.3,0.2,7.9,11.6
Adam Zaid,18,6,0,50,144,34.7,31,84,36.9,12,16,75.0,36,8,6,7,9,1,143,2.4,0.3,0.4,0.1,7.9,5.2
Jack Nott,16,20,2,56,168,33.3,9,60,15.0,4,13,30.8,38,17,30,12,29,2,124,3.4,1.9,0.8,0.1,7.8,4.6
Beruk Tadesse,16,22,0,45,128,35.2,29,89,32.6,6,11,54.5,40,19,19,19,21,3,125,3.7,1.2,1.2,0.2,7.8,7.3
Calvin Lorenzo,16,20,0,50,135,37.0,17,55,30.9,8,17,47.1,25,18,26,12,24,2,125,2.7,1.6,0.8,0.1,7.8,5.6
Joshua Cruz,17,5,0,47,146,32.2,37,120,30.8,1,4,25.0,17,4,11,8,15,1,132,1.2,0.6,0.5,0.1,7.8,3.3
Mitch Podworny,7,7,1,24,58,41.4,5,18,27.8,1,6,16.7,16,7,6,4,7,0,54,3.3,0.9,0.6,0.0,7.7,5.9
Henok Kidane,11,8,0,37,102,36.3,7,30,23.3,4,8,50.0,34,11,15,7,21,1,85,4.1,1.4,0.6,0.1,7.7,5.7
Chandeep Brar,15,12,0,43,131,32.8,29,91,31.9,2,2,100.0,23,3,10,8,14,1,116,1.7,0.7,0.5,0.1,7.7,3.9
Zechariah Alfonso,20,37,0,69,215,32.1,9,50,18.0,7,13,53.8,108,27,44,11,58,4,154,6.8,2.2,0.6,0.2,7.7,6.9
DeMar Kraus,12,14,0,36,95,37.9,15,61,24.6,5,10,50.0,36,10,19,12,25,0,92,3.8,1.6,1.0,0.0,7.7,6.7
Jacob Clendenan,12,17,0,37,114,32.5,15,63,23.8,3,4,75.0,45,10,21,19,23,0,92,4.6,1.8,1.6,0.0,7.7,7.2
Brayden Neufeld,17,39,3,49,109,45.0,5,8,62.5,28,46,60.9,85,80,18,17,17,6,131,9.7,1.1,1.0,0.4,7.7,14.2
Abdallah Sheikheldin,9,12,0,30,86,34.9,7,27,25.9,1,2,50.0,41,8,14,15,24,1,69,5.4,1.6,1.7,0.1,7.7,7.4
Tonio Ettienne,3,3,0,10,26,38.5,1,3,33.3,2,6,33.3,11,10,5,4,4,1,23,7.0,1.7,1.3,0.3,7.7,10.0
Andrew Caron,13,20,0,40,155,25.8,12,47,25.5,7,11,63.6,61,18,24,36,41,3,99,6.1,1.8,2.8,0.2,7.6,6.2
Damyan Hemans,11,23,0,35,86,40.7,2,9,22.2,12,22,54.5,51,36,15,11,21,8,84,7.9,1.4,1.0,0.7,7.6,11.2
Liam Tran,18,24,0,53,210,25.2,28,109,25.7,3,7,42.9,74,20,30,30,35,1,137,5.2,1.7,1.7,0.1,7.6,5.3
Aidan Maceachern,5,7,0,16,45,35.6,6,18,33.3,1,2,50.0,6,2,8,5,2,2,38,1.6,1.6,1.0,0.4,7.6,5.8
Ryan Croy,19,21,0,60,179,33.5,0,3,0.0,21,47,44.7,64,45,29,16,41,0,144,5.7,1.5,0.8,0.0,7.6,5.9
Luke Bergen,12,16,0,36,107,33.6,1,1,100.0,10,16,62.5,60,21,11,6,17,7,91,6.8,0.9,0.5,0.6,7.6,8.5
Jules Martens,10,19,0,31,47,66.0,1,4,25.0,13,24,54.2,46,21,23,5,9,4,76,6.7,2.3,0.5,0.4,7.6,13.9
Navneet Dandiala,8,17,0,27,77,35.1,1,16,6.3,5,10,50.0,31,27,6,4,5,8,60,7.3,0.8,0.5,1.0,7.5,9.5
Julian Lachuta,14,16,0,45,145,31.0,5,28,17.9,10,31,32.3,77,37,12,13,34,3,105,8.1,0.9,0.9,0.2,7.5,6.6
Zackery Coulson,2,0,0,5,8,62.5,5,6,83.3,0,0,0.0,3,0,2,0,0,0,15,1.5,1.0,0.0,0.0,7.5,8.5
David Muller,20,16,0,56,208,26.9,35,144,24.3,2,9,22.2,80,17,42,17,26,5,149,4.9,2.1,0.9,0.3,7.5,6.3
Jordan Hutsal,28,38,0,81,165,49.1,5,31,16.1,42,53,79.2,136,34,40,12,34,23,209,6.1,1.4,0.4,0.8,7.5,11.6
Carter Nott,11,13,0,30,76,39.5,10,34,29.4,10,25,40.0,50,8,22,12,13,1,82,5.3,2.0,1.1,0.1,7.5,9.2
Preetish Sharma,15,32,0,46,122,37.7,16,54,29.6,5,7,71.4,43,13,14,15,13,1,113,3.7,0.9,1.0,0.1,7.5,7.2
Chace Porter,15,13,0,48,143,33.6,12,48,25.0,5,14,35.7,34,15,30,8,41,2,113,3.3,2.0,0.5,0.1,7.5,3.8
Patrick Rukundo,13,33,0,41,113,36.3,11,31,35.5,6,18,33.3,54,30,18,25,33,1,98,6.5,1.4,1.9,0.1,7.5,8.4
Jesse Casey,11,26,0,29,101,28.7,13,45,28.9,12,17,70.6,53,16,8,6,16,2,83,6.3,0.7,0.5,0.2,7.5,6.8
Julian Schneider,19,36,0,60,185,32.4,11,66,16.7,11,31,35.5,97,76,17,21,45,6,142,9.1,0.9,1.1,0.3,7.5,8.9
Danny Urbina,39,59,2,110,314,35.0,26,98,26.5,40,60,66.7,105,48,60,57,83,15,288,3.9,1.5,1.5,0.4,7.4,6.8
Desai Langley,8,1,0,28,66,42.4,3,19,15.8,0,4,0.0,33,28,6,2,5,0,59,7.6,0.8,0.3,0.0,7.4,10.1
Liam Freeman,9,10,0,30,93,32.3,3,35,8.6,4,10,40.0,30,22,22,18,17,5,67,5.8,2.4,2.0,0.6,7.4,8.7
Mike Witt,17,8,0,46,121,38.0,32,92,34.8,2,3,66.7,36,2,8,6,18,0,126,2.2,0.5,0.4,0.0,7.4,4.9
Kobby Saint,30,38,1,101,226,44.7,9,48,18.8,11,19,57.9,225,63,57,26,38,2,222,9.6,1.9,0.9,0.1,7.4,14.1
Jonathan Wolfe,14,17,0,39,133,29.3,17,44,38.6,8,12,66.7,39,11,33,2,20,1,103,3.6,2.4,0.1,0.1,7.4,5.1
Patrick Gadsby,12,13,0,31,81,38.3,22,68,32.4,5,6,83.3,41,23,28,24,8,2,89,5.3,2.3,2.0,0.2,7.4,12.3
Sterling Swail,20,45,0,51,159,32.1,44,137,32.1,1,2,50.0,105,15,20,11,12,3,147,6.0,1.0,0.6,0.2,7.4,9.0
Anton Villafranca,11,8,0,37,71,52.1,0,2,0.0,7,9,77.8,14,6,5,7,12,4,81,1.8,0.5,0.6,0.4,7.4,6.3
Oliver Leslie,10,7,0,28,76,36.8,11,38,28.9,5,6,83.3,74,11,32,3,19,7,73,8.5,3.2,0.3,0.7,7.3,13.2
Milutin Hajin,15,15,0,46,130,35.4,9,37,24.3,9,15,60.0,67,18,23,18,19,5,110,5.7,1.5,1.2,0.3,7.3,8.8
Aidan Wilson,14,11,0,38,154,24.7,15,71,21.1,4,10,40.0,41,20,17,10,20,0,102,4.4,1.2,0.7,0.0,7.3,3.4
Karl Ramirez,14,14,0,43,167,25.7,12,69,17.4,4,12,33.3,68,15,11,25,18,5,102,5.9,0.8,1.8,0.4,7.3,5.4
Bavneet Singh,17,28,0,55,151,36.4,8,34,23.5,6,21,28.6,77,63,31,34,21,2,124,8.2,1.8,2.0,0.1,7.3,11.7
Joshua Neustaedter Barg,11,20,0,36,87,41.4,0,1,0.0,7,17,41.2,28,25,4,3,13,1,79,4.8,0.4,0.3,0.1,7.2,6.0
Hassan Kamara,13,27,0,37,122,30.3,7,32,21.9,12,21,57.1,68,21,15,15,23,6,94,6.8,1.2,1.2,0.5,7.2,7.8
Sam Oguntola,17,18,0,54,112,48.2,5,24,20.8,11,23,47.8,77,48,31,12,18,17,122,7.4,1.8,0.7,1.0,7.2,12.9
Tianshi Zhang,18,28,0,55,139,39.6,5,32,15.6,15,28,53.6,62,45,17,11,33,10,130,5.9,0.9,0.6,0.6,7.2,8.1
Josh McKay,5,8,0,17,39,43.6,2,12,16.7,0,3,0.0,16,8,11,5,7,1,36,4.8,2.2,1.0,0.2,7.2,9.0
Eric Matthews,5,3,0,14,48,29.2,5,22,22.7,3,4,75.0,14,5,3,2,11,0,36,3.8,0.6,0.4,0.0,7.2,2.8
Markos Bockru,11,33,1,32,87,36.8,14,61,23.0,1,7,14.3,44,14,14,14,6,1,79,5.3,1.3,1.3,0.1,7.2,9.0
Carter Gilmore,31,45,0,86,300,28.7,38,190,20.0,9,17,52.9,224,60,58,27,72,20,219,9.2,1.9,0.9,0.6,7.1,10.1
Agzequel Abatay,19,13,0,60,136,44.1,0,5,0.0,14,26,53.8,34,24,15,12,30,1,134,3.1,0.8,0.6,0.1,7.1,5.4
Adam Boychuk,19,35,0,47,197,23.9,35,148,23.6,6,6,100.0,49,3,15,15,29,2,134,2.7,0.8,0.8,0.1,7.1,2.1
Dhemir Punay,18,25,1,47,179,26.3,27,117,23.1,7,17,41.2,43,17,27,22,40,3,128,3.3,1.5,1.2,0.2,7.1,3.2
Lyes Aknouche,14,25,0,40,125,32.0,11,43,25.6,8,24,33.3,30,9,22,13,54,3,99,2.8,1.6,0.9,0.2,7.1,1.5
Michael Anyaba,1,4,0,3,11,27.3,0,2,0.0,1,5,20.0,7,9,2,2,2,4,7,16.0,2.0,2.0,4.0,7.0,17.0
Richard Reimer,5,6,0,15,36,41.7,0,4,0.0,5,8,62.5,21,12,8,0,3,7,35,6.6,1.6,0.0,1.4,7.0,11.2
Shenglin Dai,22,35,0,64,200,32.0,7,74,9.5,18,53,34.0,100,41,13,20,28,9,153,6.4,0.6,0.9,0.4,7.0,6.2
Kegan Hopper,17,8,1,49,132,37.1,11,50,22.0,9,14,64.3,99,32,69,18,34,18,119,7.7,4.1,1.1,1.1,7.0,13.7
Joseph Spence,1,0,0,3,19,15.8,1,15,6.7,0,0,0.0,6,1,3,1,6,1,7,7.0,3.0,1.0,1.0,7.0,-3.0
Juan Villada,4,5,0,12,21,57.1,1,6,16.7,3,5,60.0,16,4,10,4,5,0,28,5.0,2.5,1.0,0.0,7.0,11.5
Eli Koulack,15,23,0,45,101,44.6,5,12,41.7,9,14,64.3,27,27,18,11,21,1,104,3.6,1.2,0.7,0.1,6.9,7.1
Maric Param,29,60,0,93,226,41.2,2,9,22.2,11,31,35.5,154,75,34,38,12,1,199,7.9,1.2,1.3,0.0,6.9,11.6
Markus Ballantyne,7,16,0,22,76,28.9,1,16,6.3,3,11,27.3,40,17,10,8,21,1,48,8.1,1.4,1.1,0.1,6.9,5.9
Casey Saunders,17,22,0,47,131,35.9,24,77,31.2,0,10,0.0,53,29,15,11,24,1,118,4.8,0.9,0.6,0.1,6.9,6.4
Ramon Burke,11,15,0,34,94,36.2,2,25,8.0,6,8,75.0,34,13,23,9,13,3,76,4.3,2.1,0.8,0.3,6.9,7.5
Jackson Grier,20,17,0,63,181,34.8,2,17,11.8,9,17,52.9,42,29,29,7,35,0,137,3.6,1.5,0.4,0.0,6.9,4.2
Drew Dobinsky,13,21,0,38,91,41.8,10,43,23.3,9,17,52.9,52,14,10,9,2,8,90,5.1,0.8,0.7,0.6,6.9,9.2
Sukhdeep Saran,11,18,0,31,80,38.8,9,30,30.0,4,8,50.0,53,23,22,17,9,7,75,6.9,2.0,1.5,0.6,6.8,12.3
Darius Cepulis,16,27,1,50,113,44.2,0,1,0.0,9,18,50.0,52,35,14,7,18,6,109,5.4,0.9,0.4,0.4,6.8,8.3
Jashandeep Sidhu,15,21,0,40,135,29.6,15,54,27.8,8,14,57.1,61,18,6,11,24,6,102,5.3,0.4,0.7,0.4,6.8,5.3
Matt Castellano,16,15,0,48,129,37.2,2,28,7.1,12,22,54.5,106,19,21,22,31,4,108,7.8,1.3,1.4,0.3,6.8,9.9
Benton Athanaze,13,6,0,37,75,49.3,7,17,41.2,8,16,50.0,45,19,13,8,13,6,89,4.9,1.0,0.6,0.5,6.8,9.3
Brandon Murdock,10,10,0,31,81,38.3,3,28,10.7,3,6,50.0,32,11,9,13,8,2,68,4.3,0.9,1.3,0.2,6.8,7.4
Jimmy Martinez,15,24,0,38,93,40.9,8,17,47.1,17,30,56.7,62,26,55,13,27,2,101,5.9,3.7,0.9,0.1,6.7,10.9
John Menyer,15,22,0,39,134,29.1,11,57,19.3,11,22,50.0,37,18,22,10,18,0,100,3.7,1.5,0.7,0.0,6.7,4.2
Ryan Keil,12,9,0,29,122,23.8,17,81,21.0,5,7,71.4,39,17,21,8,31,0,80,4.7,1.8,0.7,0.0,6.7,3.3
Harvir Aulakh,10,28,1,24,79,30.4,10,33,30.3,9,14,64.3,38,1,10,4,6,1,67,3.9,1.0,0.4,0.1,6.7,5.5
Kyle Kanakis,11,15,0,27,74,36.5,11,39,28.2,9,13,69.2,24,9,8,4,15,0,74,3.0,0.7,0.4,0.0,6.7,4.8
Rory Doak,15,7,0,36,110,32.7,7,31,22.6,21,31,67.7,60,10,23,9,26,1,100,4.7,1.5,0.6,0.1,6.7,6.2
Tyler Pruden,11,14,0,29,73,39.7,12,36,33.3,3,11,27.3,34,17,10,9,17,0,73,4.6,0.9,0.8,0.0,6.6,6.7
Riley Sova,12,12,0,32,81,39.5,2,13,15.4,13,18,72.2,26,21,12,10,13,2,79,3.9,1.0,0.8,0.2,6.6,6.9
Gage O’Reilly-Trudel,9,9,1,26,72,36.1,3,12,25.0,4,7,57.1,39,13,11,5,14,2,59,5.8,1.2,0.6,0.2,6.6,7.3
Evan Deato,10,20,0,25,78,32.1,12,49,24.5,4,8,50.0,34,16,10,13,9,0,66,5.0,1.0,1.3,0.0,6.6,7.3
Brandon Labute,22,45,2,49,187,26.2,9,46,19.6,35,77,45.5,102,26,11,7,23,6,142,5.8,0.5,0.3,0.3,6.5,4.1
Oluwalonimi Ajayi,13,17,0,33,95,34.7,3,13,23.1,17,44,38.6,49,28,9,11,17,7,84,5.9,0.7,0.8,0.5,6.5,6.3
Jared Jeffery,20,42,0,61,177,34.5,1,6,16.7,7,20,35.0,98,77,6,6,22,13,130,8.8,0.3,0.3,0.7,6.5,9.0
Shaun Cross,16,29,3,42,108,38.9,8,45,17.8,12,44,27.3,111,39,55,28,36,10,104,9.4,3.4,1.8,0.6,6.5,13.3
Oluwadamilola Samuel,10,21,0,28,94,29.8,4,15,26.7,5,14,35.7,60,39,11,10,23,9,65,9.9,1.1,1.0,0.9,6.5,9.6
Joren Yabut,17,61,0,46,153,30.1,8,27,29.6,10,29,34.5,100,43,14,12,17,12,110,8.4,0.8,0.7,0.7,6.5,8.7
Colten Anderson,17,20,0,44,150,29.3,10,66,15.2,12,31,38.7,77,17,21,22,35,8,110,5.5,1.2,1.3,0.5,6.5,5.6
Gordan Njezic,13,22,0,33,110,30.0,18,83,21.7,0,0,0.0,35,5,14,16,18,2,84,3.1,1.1,1.2,0.2,6.5,4.7
Aaron Layacan,38,41,0,92,292,31.5,50,187,26.7,13,33,39.4,75,19,43,38,43,1,247,2.5,1.1,1.0,0.0,6.5,4.2
Ji Min Ryu,16,24,0,35,154,22.7,7,36,19.4,27,50,54.0,47,13,10,19,34,0,104,3.8,0.6,1.2,0.0,6.5,1.1
Jianbo Qiu,19,29,0,49,145,33.8,25,87,28.7,0,0,0.0,17,13,11,18,20,0,123,1.6,0.6,0.9,0.0,6.5,3.5
Mark Munyuza,17,35,0,47,142,33.1,1,2,50.0,17,33,51.5,56,47,13,8,22,12,110,6.1,0.8,0.5,0.7,6.5,6.6
Chris Custodio,18,18,1,45,132,34.1,21,73,28.8,2,5,40.0,60,28,15,13,14,4,117,4.9,0.8,0.7,0.2,6.5,7.4
Gorden Chow,20,14,0,54,183,29.5,11,69,15.9,8,17,47.1,22,13,13,25,25,0,127,1.8,0.7,1.3,0.0,6.4,1.9
Ryan Storey,9,20,0,21,84,25.0,14,50,28.0,2,7,28.6,38,7,18,8,17,2,58,5.0,2.0,0.9,0.2,6.4,5.1
Samuel Chin,10,9,0,25,113,22.1,3,17,17.6,11,18,61.1,14,14,7,16,24,1,64,2.8,0.7,1.6,0.1,6.4,-0.3
Noah Fast,17,44,0,43,145,29.7,6,39,15.4,18,33,54.5,64,23,12,5,17,1,108,5.1,0.7,0.3,0.1,6.4,4.6
Justin Kasak,10,30,0,24,69,34.8,10,35,28.6,6,9,66.7,32,4,12,7,29,0,64,3.6,1.2,0.7,0.0,6.4,4.2
Charles Goossen,6,4,0,11,44,25.0,6,23,26.1,10,12,83.3,35,9,11,6,10,2,38,7.3,1.8,1.0,0.3,6.3,9.3
Yuanzheng Gao,19,36,2,50,145,34.5,17,70,24.3,3,7,42.9,91,17,42,15,59,1,119,5.7,2.2,0.8,0.1,6.3,6.7
Jacob Boulette,19,12,0,50,189,26.5,8,51,15.7,12,34,35.3,57,21,24,20,31,0,120,4.1,1.3,1.1,0.0,6.3,2.6
